CIDADE,DATA_COMUNICACAO_BO,FLAG_STATUS,VIOLENCIA_DOMESTICA,RUBRICA,DESCR_SUBTIPOLOCAL,DESCR_RELACIONAMENTO,IDADE_PESSOA,DESCR_PROFISSAO,DESCR_GRAU_INSTRUCAO
RIBEIRAO PRETO                          ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,UNIAO ESTAVEL                           ,34,DESEMPREGADO(A)               ,
S.ROSA DE VITERBO                       ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,PARENTESCO                              ,63,,
RIBEIRAO PRETO                          ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,44,VENDEDOR(A)                   ,
PORTO FERREIRA                          ,2020-03-04,Consumado,,Ameaça (art. 147),CASA,,16,ESTUDANTE                     ,
TAQUARITINGA                            ,2020-03-04,Consumado,,Art. 215A - Importunação Sexual,CASA,,12,ESTUDANTE                     ,
ALTINOPOLIS                             ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,NENHUMA RELACAO                         ,44,BALCONISTA                    ,
ARARAQUARA                              ,2020-03-04,Consumado,,Dano (art. 163),VIA PÚBLICA,,29,ESTUDANTE                     ,
RIBEIRAO PRETO                          ,2020-03-04,Consumado,,Ameaça (art. 147),CASA,,39,VENDEDOR(A)                   ,2 Grau completo                         
PATROCINIO PAULISTA                     ,2020-03-04,Consumado,,Injúria (art. 140),WHATSAPP,,22,ESTUDANTE                     ,
PATROCINIO PAULISTA                     ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),WHATSAPP,ENVOLVIMENTO AMOROSO                    ,21,ESTUDANTE                     ,
MONTE ALTO                              ,2020-03-04,Consumado,,Injúria (art. 140),PREFEITURA MUNICIPAL,,41,,
RIBEIRAO PRETO                          ,2020-03-04,Consumado,,Injúria (art. 140),CASA,,47,NAO INFORMADA                 ,1 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-04,Consumado,,Ameaça (art. 147),CASA,,59,,
OLIMPIA                                 ,2020-03-04,Consumado,,Ameaça (art. 147),CASA,,67,NAO INFORMADA                 ,
OLIMPIA                                 ,2020-03-04,Consumado,,Injúria (art. 140),CASA,,67,NAO INFORMADA                 ,
SERTAOZINHO                             ,2020-03-04,Consumado,,Ameaça (art. 147),HOSPITAL-PRONTO SOCORRO,,34,ENFERMEIRO(A)                 ,Superior completo                       
RIBEIRAO PRETO                          ,2020-03-04,Consumado,,Ameaça (art. 147),TERRENO BALDIO,,46,,
RIBEIRAO PRETO                          ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,45,MOTO-BOY                      ,1 Grau incompleto                       
GUARA                                   ,2020-03-04,Consumado,,Injúria (art. 140),APLICATIVOS DE MENSAGENS,,39,COMERCIANTE                   ,2 Grau completo                         
COLOMBIA                                ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),FAZENDA-CASA,UNIAO ESTAVEL                           ,60,,1 Grau completo                         
BOA ESPERANCA DO SUL                    ,2020-03-04,Consumado,,Calúnia (art. 138),BERÇÁRIO/CRECHE,,58,NAO INFORMADA                 ,Superior completo                       
BOA ESPERANCA DO SUL                    ,2020-03-04,Consumado,,Difamação (art. 139),BERÇÁRIO/CRECHE,,58,NAO INFORMADA                 ,Superior completo                       
ARARAQUARA                              ,2020-03-04,Consumado,,Dano (art. 163),VIA PÚBLICA,,27,AUTONOMO(A)                   ,
SERRA AZUL                              ,2020-03-04,Consumado,,Injúria (art. 140),OUTROS,,20,ESTUDANTE                     ,2 Grau completo                         
PEDREGULHO                              ,2020-03-04,Consumado,,Injúria (art. 140),CASA,,20,ESTUDANTE                     ,2 Grau completo                         
PEDREGULHO                              ,2020-03-04,Consumado,,Ameaça (art. 147),CASA,,20,ESTUDANTE                     ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-04,Consumado,,Calúnia (art. 138),CASA,,31,EMPRESARIO(A)                 ,Superior completo                       
ARARAQUARA                              ,2020-03-04,Consumado,,Injúria (art. 140),VIA PÚBLICA,,29,ESTUDANTE                     ,
RIBEIRAO PRETO                          ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,UNIAO ESTAVEL                           ,23,,
RIBEIRAO PRETO                          ,2020-03-04,Consumado,,Ameaça (art. 147),APARTAMENTO,,65,APOSENTADO(A)                 ,
RIBEIRAO PRETO                          ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),APARTAMENTO,UNIAO ESTAVEL                           ,35,PROFESSOR(A)                  ,Superior completo                       
RIBEIRAO PRETO                          ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),APARTAMENTO,UNIAO ESTAVEL                           ,35,PROFESSOR(A)                  ,Superior completo                       
GUARA                                   ,2020-03-04,Consumado,,Ameaça (art. 147),APLICATIVOS DE MENSAGENS,,39,COMERCIANTE                   ,2 Grau completo                         
BORBOREMA                               ,2020-03-04,Consumado,,Ameaça (art. 147),VIA PÚBLICA-TRANSEUNTE,,52,RECICLADOR                    ,1 Grau incompleto                       
PORTO FERREIRA                          ,2020-03-04,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,19,ADMINISTRADOR(A)              ,2 Grau completo                         
NUPORANGA                               ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Calúnia (art. 138),CASA,ENVOLVIMENTO AMOROSO                    ,35,ESTETICISTA                   ,Superior completo                       
MONTE ALTO                              ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),VIA PÚBLICA,CASAMENTO                               ,35,DESEMPREGADO(A)               ,2 Grau incompleto                       
SERTAOZINHO                             ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,21,ESTUDANTE                     ,
BRODOWSKI                               ,2020-03-04,Consumado,,A.I.-Ameaça (art. 147),OUTROS,,26,FUNCION.PUBLICO MUNICIPAL     ,Superior incompleto                     
S.JOAQUIM DA BARRA                      ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,33,FAXINEIRO(A)                  ,1 Grau incompleto                       
SERTAOZINHO                             ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA,UNIAO ESTAVEL                           ,30,OPERADOR DE CAIXA             ,
PORTO FERREIRA                          ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,ENVOLVIMENTO AMOROSO                    ,31,BAILARINO(A)                  ,1 Grau completo                         
PONTAL                                  ,2020-03-04,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,66,APOSENTADO(A)                 ,
PONTAL                                  ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,24,,2 Grau completo                         
MATAO                                   ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,39,NAO INFORMADA                 ,Superior completo                       
FRANCA                                  ,2020-03-04,Consumado,,Injúria (art. 140),CASA,,43,NAO INFORMADA                 ,
FRANCA                                  ,2020-03-04,Consumado,,Ameaça (art. 147),CASA,,55,SAPATEIRO(A)                  ,
IBITINGA                                ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,26,DESEMPREGADO(A)               ,Superior incompleto                     
MONTE ALTO                              ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),OUTROS,ENVOLVIMENTO AMOROSO                    ,19,ESTUDANTE                     ,Superior incompleto                     
BARRINHA                                ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),VIA PÚBLICA,UNIAO ESTAVEL                           ,24,AJUDANTE GERAL                ,2 Grau completo                         
FRANCA                                  ,2020-03-04,Consumado,,Injúria (art. 140),CASA,,55,SAPATEIRO(A)                  ,
FRANCA                                  ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,46,EMPREGADO DOMESTICO           ,
RIBEIRAO PRETO                          ,2020-03-04,Consumado,,Difamação (art. 139),CASA,,40,VIGILANTE                     ,2 Grau completo                         
CAJURU                                  ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Dano (art. 163),CASA,UNIAO ESTAVEL                           ,16,ESTUDANTE                     ,1 Grau incompleto                       
CAJURU                                  ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,UNIAO ESTAVEL                           ,16,ESTUDANTE                     ,1 Grau incompleto                       
SERTAOZINHO                             ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,18,ESTUDANTE                     ,
IGARAPAVA                               ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,66,APOSENTADO(A)                 ,
SERTAOZINHO                             ,2020-03-04,Consumado,,Ameaça (art. 147),CASA,,53,PINTOR(A)                     ,1 Grau completo                         
RIBEIRAO BONITO                         ,2020-03-04,Consumado,,Difamação (art. 139),CASA,,55,TERAPEUTA OCUPACIONAL         ,Superior completo                       
IBITINGA                                ,2020-03-04,Consumado,,Injúria (art. 140),CASA,,37,AUTONOMO(A)                   ,1 Grau incompleto                       
AMERICO BRASILIENSE                     ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),CASA,CASAMENTO                               ,26,,2 Grau completo                         
S.JOAQUIM DA BARRA                      ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,33,FAXINEIRO(A)                  ,1 Grau incompleto                       
IGARAPAVA                               ,2020-03-04,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,30,,1 Grau completo                         
NUPORANGA                               ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,ENVOLVIMENTO AMOROSO                    ,35,ESTETICISTA                   ,Superior completo                       
RIBEIRAO PRETO                          ,2020-03-04,Consumado,,Ameaça (art. 147),CASA,,40,VIGILANTE                     ,2 Grau completo                         
ITUVERAVA                               ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,PARENTESCO                              ,43,AUTONOMO(A)                   ,1 Grau completo                         
BARRETOS                                ,2020-03-04,Consumado,,Estupro de vulneravel (art.217-A),CASA,,3,NAO INFORMADA                 ,
BARRETOS                                ,2020-03-04,Consumado,,Dano (art. 163),CASA,,72,,
VIRADOURO                               ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),CASA,UNIAO ESTAVEL                           ,35,PRENDAS DOMESTICAS            ,1 Grau completo                         
IBITINGA                                ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,CASAMENTO                               ,26,DESEMPREGADO(A)               ,Superior incompleto                     
BATATAIS                                ,2020-03-04,Consumado,,Ameaça (art. 147),CASA,,50,,1 Grau completo                         
FRANCA                                  ,2020-03-04,Consumado,,Ameaça (art. 147),OUTROS,,33,NAO INFORMADA                 ,
PORTO FERREIRA                          ,2020-03-04,Consumado,,Lesão corporal (art. 129),VIA PÚBLICA,,19,ADMINISTRADOR(A)              ,2 Grau completo                         
PITANGUEIRAS                            ,2020-03-04,Consumado,,Injúria (art. 140),VIA PÚBLICA-DEFRENTE A RESIDÊNCIA DA VÍTIMA,,52,AUTONOMO(A)                   ,2 Grau completo                         
PITANGUEIRAS                            ,2020-03-04,Consumado,,Ameaça (art. 147),VIA PÚBLICA-DEFRENTE A RESIDÊNCIA DA VÍTIMA,,52,AUTONOMO(A)                   ,2 Grau completo                         
JABOTICABAL                             ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,PARENTESCO                              ,65,PRENDAS DOMESTICAS            ,1 Grau completo                         
BARRINHA                                ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA,UNIAO ESTAVEL                           ,24,AJUDANTE GERAL                ,2 Grau completo                         
ALTAIR                                  ,2020-03-04,Consumado,,Lesão corporal (art. 129),VIA PÚBLICA,,25,PRENDAS DOMESTICAS            ,
JABOTICABAL                             ,2020-03-04,Consumado,,Calúnia (art. 138),CASA,,42,,
MORRO AGUDO                             ,2020-03-04,Consumado,,Injúria (art. 140),CASA,,40,PRENDAS DOMESTICAS            ,1 Grau incompleto                       
ITUVERAVA                               ,2020-03-04,Consumado,,Difamação (art. 139),CASA,,39,PRENDAS DOMESTICAS            ,
FRANCA                                  ,2020-03-04,Consumado,,Art. 213 - Estupro,BAR/BOTEQUIM-OUTROS,,21,ASSISTENTE ADMINISTRATIVO     ,
RIBEIRAO PRETO                          ,2020-03-04,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,17,ESTUDANTE                     ,2 Grau completo                         
SERRANA                                 ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,ENVOLVIMENTO AMOROSO                    ,35,,
BORBOREMA                               ,2020-03-04,Consumado,,Lesão corporal (art 129 § 9º),VIA PÚBLICA,CASAMENTO                               ,45,AJUDANTE                      ,2 Grau completo                         
FRANCA                                  ,2020-03-04,Consumado,,Injúria (art. 140),CASA,,50,LAVRADOR(A)                   ,
ALTAIR                                  ,2020-03-04,Consumado,,Injúria (art. 140),VIA PÚBLICA,,25,AUXILIAR DE LIMPEZA           ,
TAIUVA                                  ,2020-03-04,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),PRAÇA-OUTROS,UNIAO ESTAVEL                           ,19,DESEMPREGADO(A)               ,2 Grau completo                         
JABOTICABAL                             ,2020-03-05,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,27,BALCONISTA                    ,2 Grau completo                         
MONTE ALTO                              ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,CASAMENTO                               ,29,CAIXA                         ,2 Grau completo                         
ARARAQUARA                              ,2020-03-05,Consumado,,Ameaça (art. 147),APARTAMENTO,,22,SUPERVISOR(A) DE TELEMARKETING,2 Grau completo                         
JARDINOPOLIS                            ,2020-03-05,Consumado,,Lesão corporal (art. 129),CASA,,58,EMPRESARIO(A)                 ,Superior completo                       
MONTE ALTO                              ,2020-03-05,Consumado,,Difamação (art. 139),FACEBOOK,,48,FAXINEIRO(A)                  ,1 Grau incompleto                       
FRANCA                                  ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,50,,
FRANCA                                  ,2020-03-05,Tentado,,"Homicídio qualificado (art. 121, §2o.)",CASA,,28,VENDEDOR(A)                   ,2 Grau incompleto                       
ARARAQUARA                              ,2020-03-05,Consumado,,Injúria (art. 140),APARTAMENTO,,22,SUPERVISOR(A) DE TELEMARKETING,2 Grau completo                         
MONTE ALTO                              ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,37,FUNCION.PUBLICO FEDERAL       ,Superior completo                       
ARARAQUARA                              ,2020-03-05,Consumado,,Injúria (art. 140),VIA PÚBLICA,,35,MOTORISTA                     ,Superior completo                       
MIGUELOPOLIS                            ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,PARENTESCO                              ,25,MANICURE                      ,2 Grau completo                         
S.JOSE DA BELA VISTA                    ,2020-03-05,Consumado,,Ameaça (art. 147),WHATSAPP,,33,PRENDAS DOMESTICAS            ,1 Grau completo                         
S.CARLOS                                ,2020-03-05,Consumado,,Ameaça (art. 147),CASA,,21,ESTUDANTE                     ,
FRANCA                                  ,2020-03-05,Consumado,,Injúria (art. 140),CASA,,61,PENSIONISTA                   ,
FRANCA                                  ,2020-03-05,Consumado,,Injúria (art. 140),CASA,,61,PENSIONISTA                   ,
FRANCA                                  ,2020-03-05,Consumado,,Ameaça (art. 147),CASA,,61,PENSIONISTA                   ,
FRANCA                                  ,2020-03-05,Consumado,,Ameaça (art. 147),CASA,,61,PENSIONISTA                   ,
MATAO                                   ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,39,FAXINEIRO(A)                  ,1 Grau incompleto                       
FRANCA                                  ,2020-03-05,Consumado,,Injúria (art. 140),CASA,,45,COSTUREIRO(A)                 ,
FERNANDO PRESTES                        ,2020-03-05,Consumado,,Dano (art. 163),SITIO-OUTROS,,16,,
FRANCA                                  ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,ENVOLVIMENTO AMOROSO                    ,38,FAXINEIRO(A)                  ,
BARRETOS                                ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,UNIAO ESTAVEL                           ,21,PRENDAS DOMESTICAS            ,2 Grau completo                         
BARRETOS                                ,2020-03-05,Consumado,,Ameaça (art. 147),CASA,,47,PRENDAS DOMESTICAS            ,1 Grau incompleto                       
S.CARLOS                                ,2020-03-05,Consumado,,Ameaça (art. 147),CASA,,23,PRENDAS DOMESTICAS            ,2 Grau incompleto                       
BARRETOS                                ,2020-03-05,Consumado,,Dano (art. 163),CASA,,59,PRENDAS DOMESTICAS            ,1 Grau incompleto                       
S.JOAQUIM DA BARRA                      ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Dano (art. 163),CASA,CASAMENTO                               ,42,PRENDAS DOMESTICAS            ,2 Grau completo                         
S.JOAQUIM DA BARRA                      ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,CASAMENTO                               ,42,PRENDAS DOMESTICAS            ,2 Grau completo                         
ARARAQUARA                              ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,PARENTESCO                              ,13,ESTUDANTE                     ,
ARARAQUARA                              ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,ENVOLVIMENTO AMOROSO                    ,40,DESEMPREGADO                  ,2 Grau completo                         
ARARAQUARA                              ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,ENVOLVIMENTO AMOROSO                    ,40,DESEMPREGADO                  ,2 Grau completo                         
ARARAQUARA                              ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,CASAMENTO                               ,40,GERENTE ADMINISTRATIVO        ,Superior completo                       
OLIMPIA                                 ,2020-03-05,Consumado,,Ameaça (art. 147),CHÁCARA-CASA,,24,NAO INFORMADA                 ,2 Grau completo                         
OLIMPIA                                 ,2020-03-05,Consumado,,Injúria (art. 140),SALÃO DE BELEZA/ESTÉTICA,,25,MANICURE                      ,Superior completo                       
OLIMPIA                                 ,2020-03-05,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,41,ENFERMEIRO(A)                 ,Superior completo                       
BARRETOS                                ,2020-03-05,Tentado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,ENVOLVIMENTO AMOROSO                    ,32,,
MONTE AZUL PAULISTA                     ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,27,AJUDANTE                      ,
TAQUARITINGA                            ,2020-03-05,Consumado,,Ameaça (art. 147),CASA,,40,EMPREGADO DOMESTICO           ,1 Grau incompleto                       
S.RITA PASSA QUATRO                     ,2020-03-05,Consumado,,Lesão corporal (art. 129),VIA PÚBLICA,,47,AUTONOMO(A)                   ,2 Grau completo                         
PORTO FERREIRA                          ,2020-03-05,Consumado,,Violação de domicílio (art. 150),CASA,,35,,
PONTAL                                  ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,47,COMERCIANTE                   ,1 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Ameaça (art. 147),CONSULTÓRIO-MÉDICO,,55,PSICOLOGO(A)                  ,Superior completo                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Injúria (art. 140),CONSULTÓRIO-MÉDICO,,55,PSICOLOGO(A)                  ,Superior completo                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,33,PRENDAS DOMESTICAS            ,1 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,CASAMENTO                               ,33,PRENDAS DOMESTICAS            ,1 Grau completo                         
VIRADOURO                               ,2020-03-05,Consumado,,Ameaça (art. 147),CASA,,63,DIRETOR(A)                    ,Superior completo                       
VIRADOURO                               ,2020-03-05,Consumado,,Injúria (art. 140),CASA,,63,DIRETOR(A)                    ,Superior completo                       
S.RITA PASSA QUATRO                     ,2020-03-05,Consumado,,Injúria (art. 140),VIA PÚBLICA,,47,AUTONOMO(A)                   ,2 Grau completo                         
COLOMBIA                                ,2020-03-05,Consumado,,Estupro de vulneravel (art.217-A),CASA,,14,ESTUDANTE                     ,1 Grau incompleto                       
SERTAOZINHO                             ,2020-03-05,Consumado,,Dano (art. 163),CASA,,36,ESTUDANTE                     ,
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),APARTAMENTO,CASAMENTO                               ,36,PEDAGOGO(A)                   ,Superior completo                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),APARTAMENTO,CASAMENTO                               ,36,PEDAGOGO(A)                   ,Superior completo                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,38,AUXILIAR DE LIMPEZA           ,
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,40,PRENDAS DOMESTICAS            ,2 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,ENVOLVIMENTO AMOROSO                    ,40,PRENDAS DOMESTICAS            ,2 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Difamação (art. 139),CASA,ENVOLVIMENTO AMOROSO                    ,40,PRENDAS DOMESTICAS            ,2 Grau incompleto                       
VIRADOURO                               ,2020-03-05,Consumado,,Calúnia (art. 138),CASA,,63,DIRETOR(A)                    ,Superior completo                       
BORBOREMA                               ,2020-03-05,Consumado,,Art. 213 - Estupro,VIA PÚBLICA,,15,ESTUDANTE                     ,2 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art 129 § 9º),CASA,ENVOLVIMENTO AMOROSO                    ,40,PRENDAS DOMESTICAS            ,2 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,ENVOLVIMENTO AMOROSO                    ,32,VIGILANTE                     ,
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Ameaça (art. 147),CASA,CASAMENTO                               ,40,FARMACEUTICO(A)               ,Superior completo                       
BOA ESPERANCA DO SUL                    ,2020-03-05,Consumado,,Difamação (art. 139),WHATSAPP,,33,ESTUDANTE                     ,
S.SIMAO                                 ,2020-03-05,Consumado,,Difamação (art. 139),CASA,,44,EMPREGADO DOMESTICO           ,1 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Ameaça (art. 147),CASA,CONHECIDO                               ,45,OPERADOR DE CAIXA             ,
PITANGUEIRAS                            ,2020-03-05,Consumado,,Ameaça (art. 147),CASA,,54,DESEMPREGADO                  ,1 Grau completo                         
IPUA                                    ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,ENVOLVIMENTO AMOROSO                    ,33,EMPREGADO DOMESTICO           ,2 Grau completo                         
TAQUARITINGA                            ,2020-03-05,Consumado,,Ameaça (art. 147),CASA-BANHEIRO,,26,FUNCION.PUBLICO ESTADUAL      ,2 Grau completo                         
PONTAL                                  ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA,PARENTESCO                              ,22,NAO INFORMADA                 ,
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,UNIAO ESTAVEL                           ,36,NAO INFORMADA                 ,
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,UNIAO ESTAVEL                           ,36,NAO INFORMADA                 ,
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Injúria (art. 140),CASA,,45,CABELEIREIRO(A)               ,1 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Injúria (art. 140),OUTROS,,28,,
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Injúria (art. 140),OUTROS,,61,NAO INFORMADA                 ,Superior completo                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Difamação (art. 139),OUTROS,,28,,
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Difamação (art. 139),OUTROS,,61,NAO INFORMADA                 ,Superior completo                       
RIBEIRAO PRETO                          ,2020-03-05,Tentado,,A.I.-Ameaça (art. 147),ENSINO MÉDIO,,17,ESTUDANTE                     ,2 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,PARENTESCO                              ,50,CABELEIREIRO(A)               ,1 Grau incompleto                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Lesão corporal (art 129 § 9º),APARTAMENTO,UNIAO ESTAVEL                           ,28,TELEFONISTA                   ,Superior completo                       
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Lesão corporal (art. 129),CASA,,28,,
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Ameaça (art. 147),CASA,,21,DESEMPREGADO(A)               ,2 Grau completo                         
IGARAPAVA                               ,2020-03-05,Consumado,,Injúria (art. 140),OUTROS,,21,VENDEDOR(A)                   ,1 Grau completo                         
IGARAPAVA                               ,2020-03-05,Consumado,,Injúria (art. 140),OUTROS,,46,PRENDAS DOMESTICAS            ,
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Injúria (art. 140),CASA,,21,DESEMPREGADO(A)               ,2 Grau completo                         
RIBEIRAO PRETO                          ,2020-03-05,Consumado,,Lesão corporal (art. 129),CASA,CONHECIDO                               ,45,OPERADOR DE CAIXA             ,
BARRINHA                                ,2020-03-05,Consumado,,Calúnia (art. 138),VIA PÚBLICA,,38,PRENDAS DOMESTICAS            ,2 Grau completo                         
VIRADOURO                               ,2020-03-05,Consumado,,Difamação (art. 139),CASA,,63,DIRETOR(A)                    ,Superior completo                       
